name,id,unit,split,desc,stored,category,dist
Sugar,F09570,10/2kg,TRUE,Granulated,Pantry,,Findlays
Cod Tails,F42305,1/10lb,FALSE,5oz,Freezer,Seafood,Findlays
Panini Buns,F38352,45/120gm,FALSE,Swiss,Freezer,Bread,Findlays
Bacon,F27126,1/5kg,FALSE,16/18 Center Cut,Fridge,Meat,Findlays
Worchestershire Sauce,F06536,2/3.78lt,TRUE,,Pantry,Bar,Findlays
Tabasco Sauce,F06527,1/350ml,TRUE,Large,Pantry,Bar,Findlays
Wings,F31654,8/5lb,TRUE,8/10 IQF Split,Freezer,Meat,Findlays
Cheese Balls,F35610,1/5lb,FALSE,Cheddar 32+/lb,Freezer,,Findlays
Butt Shrimp,F43187,4/25.lb,TRUE,"Breaded, Butterfly 21/25",Freezer,Seafood,Findlays
Cheddar,F20595,1/2.5kg,TRUE,Shredded,Fridge,Dairy,Findlays
Clamato,F10166,8/1.89lt,TRUE,Jug,Pantry,Bar,Findlays
Wet Naps,F55251,1/1000's,FALSE,Moist Towelettes,Pantry,,Findlays
Sour Cream,F44144,1/10lt,FALSE,"14%, �Big�",Fridge,Dairy,Findlays
Mayo,F05159,1/16lt,FALSE,"Kraft � Real, �Big�",Pantry,,Findlays
Mayo,F05157,2/3.78lt,FALSE,"Kraft � Real, �Little�",Pantry,,Findlays
Jalapenos,F01110,1/102oz,TRUE,"Sliced, Can",Pantry,,Findlays
Plastic Portion Cup,F54502,10/250's,TRUE,"3.25oz, Translucent",Pantry,Paper/Plastic,Findlays
Basket Liners,F55773,1/2000's,FALSE,"Red, Checkers",Pantry,Paper/Plastic,Findlays
Portion Bag,F54122,1/500's,FALSE,2lb,Pantry,Paper/Plastic,Findlays
Paper Towels,F55315,24/205ft,FALSE,"8�, Brown",Pantry,Paper/Plastic,Findlays
Onion Rings,F20329,1/4kg,FALSE,Battered,Freezer,,Findlays
Sweet Potato Fries,F22117,6/2.5lb,TRUE,Plank,Freezer,,Findlays
Chicken Breast,F32789,1/4kg,FALSE,"Breaded, Supreme Crunch",Freezer,Meat,Findlays
"Gouda, Smoked",F20637,1/4.37kg,FALSE,Wheel,Fridge,Dairy,Findlays
Monterey Jack,F20631,4/2.5kg,TRUE,Shredded,Fridge,Dairy,Findlays
Cheddar,F20595,4/2.5kg,TRUE,Shredded,Fridge,Dairy,Findlays
Table Cream,F44161,12/1lt,TRUE,18.00%,Fridge,Dairy,Findlays
Lemon Pepper,F13977,1/795gm,FALSE,Spice,Pantry,Spice,Findlays
Ranch,F05191,2/3.78lt,TRUE,Ranchers Choice,Pantry,Sauce & Dressings,Findlays
Olive Oil,F13736,1/3lt,FALSE,"Pure, Extra Virgin",Pantry,Oil & Vinegar,Findlays
Canola ,F13745,1/16lt,FALSE,"Canola Oil, Box",Pantry,Oil & Vinegar,Findlays
Dinner Napkins,F55245,12/250's,FALSE,"1-ply, 8 fold",Pantry,Paper/Plastic,Findlays
Mozza Sticks,F35608,1/5lb,FALSE,Breaded,Freezer,,Findlays
Pretzel,F36634,48/3oz,FALSE,w/Salt Pack,Freezer,,Findlays
Brie,F20494,1/300gm,TRUE,,Fridge,Dairy,Findlays
Cream Cheese,F20820,1/1.5kg,TRUE,Plain,Fridge,Dairy,Findlays
Chopped Garlic,F05225,6/1kg,TRUE,"In Oil,",Fridge,Spice,Findlays
Buttermilk,F44183,12/1lt,TRUE,,Fridge,Dairy,Findlays
Battered Mushrooms,F20341,1/5lb,FALSE,Button,Freezer,,Findlays
Ground Beef,F22372,2/2.27kg,TRUE,"Lean, Cock",Fridge,Meat,Findlays
Feta,F20654,1/3kg,FALSE,,Fridge,Dairy,Findlays
Bags,F42512,1/1000's,FALSE,T-Shirt Style,Pantry,Paper/Plastic,Findlays
Garbage Bags,F54172,1/100's,FALSE,35 x 50,Pantry,Paper/Plastic,Findlays
Chicken Breasts,F31648,1/4kg,FALSE,"50z, Boneless, Skinless",Freezer,Meat,Findlays
Calamari,F42751,6/2lb,TRUE,Breaded,Freezer,Seafood,Findlays
Margarine,F44250,1/13kg,FALSE,�Big�,Fridge,,Findlays
Gravy,F03135,8/467gm,FALSE,Brown,Pantry,Sauce & Dressings,Findlays
Lemon Juice,F10262,12/945ml,TRUE,Concentrate,Pantry,,Findlays
Big Takeout,F54397,2/100's,TRUE,9x9,Pantry,Paper/Plastic,Findlays
Tortilla,F01173,12/12's,TRUE,"12�, Flour",Freezer,,Findlays
Parmesan,F20702,2/1kg,TRUE,Shredded,Fridge,Dairy,Findlays
Caesar,F05098,2/3.78lt,TRUE,"Mighty, Gourmet",Fridge,Sauce & Dressings,Findlays
Cheese Curd,F20604,1/2kg,TRUE,White,Fridge,Dairy,Findlays
Greek Seasoning,F14210,1/510gm,TRUE,,Fridge,Spice,Findlays
Salt,F13792,1/3lb,TRUE,Kosher,Pantry,Spice,Findlays
Beef Soup Base,F02894,4/946ml,TRUE,"Liquid, Concentrate",Pantry,Sauce & Dressings,Findlays
Honey Garlic,F06479,2/4lt,TRUE,Wing Sauce,Pantry,Sauce & Dressings,Findlays
Franks,F06450,2/3.78lt,TRUE,"Red Hot, Wing Sauce",Pantry,Sauce & Dressings,Findlays
Nacho Chips,F01185,4/1.5lb,TRUE,"Round, Yellow",Pantry,,Findlays
Ketchup,F06950,500/8ml,FALSE,Individual,Pantry,,Findlays
Vinegar,F07255,4/5lt,TRUE,"White, Jug",Pantry,Oil & Vinegar,Findlays
Lids,F54503,25/100's,TRUE,3.5/4oz Lids,Pantry,Paper/Plastic,Findlays
Chicken Strips,F32731,2/2kg,FALSE,Love Me Tenders,Freezer,Meat,Findlays
Corn Chips,F01961,41/50's,TRUE,"6"", White",Freezer,,Findlays
Taco �Shells�,F01805,42/12's,TRUE,"6"", White, Soft",Freezer,,Findlays
Garbage Bags,F54169,1/125's,FALSE,26 x 36,Pantry,Paper/Plastic,Findlays
Dill Weed,F13946,1/140gm,FALSE,Rubbed,Pantry,Spice,Findlays
Medium Sauce,F06425,2/3.7lt,TRUE,"2nd Degree, Wing Sauce",Pantry,Sauce & Dressings,Findlays
Dish Soap,F72100,4/4lt,TRUE,Lemon,Pantry,Chemical,Findlays
Coconut Shrimp,F43218,4/2.5lb,TRUE,,Freezer,Seafood,Findlays
Salsa,F01185,4/3.27lt,TRUE,"Mild, Thick/Chunky",Pantry,Sauce & Dressings,Findlays
Small Takeout,F54395,1/250's,TRUE,,Pantry,Paper/Plastic,Findlays
J-Cloth,F55350,1/100's,FALSE,Blue,Pantry,,Findlays
Orange Juice,F10101,6/1.89lt,TRUE,,Fridge,Bar,Findlays
Ketchup,F06975,6/100oz,TRUE,Cans,Pantry,,Findlays
Tomatoes,F00702,6/3lt,TRUE,"Whole, Plum",Pantry,,Findlays
Corn Flakes,F04731,4/728gm,TRUE,Cereal,Pantry,,Findlays
Cook Out,F70815,4/4lt,TRUE,Grill & Fryer Cleaner,Pantry,Chemical,Findlays
Sub Buns,F36354,40/140gm,FALSE,"12�, Fully Baked",Freezer,Bread,Findlays
Sour Cream,F44156,1/2lt,FALSE,Little Sour Cream,Fridge,Dairy,Findlays
Blue Cheese Dressing,F05065,2/3.78lt,TRUE,,Fridge,Sauce & Dressings,Findlays
Plum Sauce,F06475,4/4lt,TRUE,,Pantry,Sauce & Dressings,Findlays
Lemon Pepper,F13977,1/795gm,FALSE,,Pantry,Spice,Findlays
Creamers,F44159,4/160's,TRUE,18.00%,Fridge,Dairy,Findlays
Parsley Flakes,F14025,1/85gm,FALSE,(small),Pantry,Spice,Findlays
Relish,F06855,2/3.78lt,TRUE,"Sweet, Green",Pantry,Sauce & Dressings,Findlays
Poppers,F20440,2/2.5lb,TRUE,w/ Cream Cheese,Freezer,,Findlays
Hamburger Bun,F38351,48/80gm,FALSE,"4"", Classic",Freezer,Bread,Findlays
Salt,F13791,1/20kg,FALSE,Table,Pantry,Spice,Findlays
